championship;club
Premier-Liga;FK Krasnodar
Premier-Liga;FK Orenbourg
Premier-Liga;Lokomotiv Moscou
Premier-Liga;Dynamo Moscou
Premier-Liga;FK Sotchi
Premier-Liga;Oural Iekaterinbourg
Premier-Liga;Krylia Sovetov Samara
Premier-Liga;Pari Nijni Novgorod
Premier-Liga;Fakel Voronej
Premier-Liga;FK Khimki
Premier-Liga;Torpedo Moscou
Primera División;Talleres de Córdoba
Primera División;San Lorenzo de Almagro
Primera División;C.S.D. Defensa y Justicia
Primera División;Club Atlético Lanús
Primera División;Estudiantes de La Plata
Primera División;Boca Juniors
Primera División;Rosario Central
Primera División;Godoy Cruz
Primera División;Argentinos Juniors
Primera División;Club Atlético Tucumán
Primera División;Racing Club
Primera División;Belgrano de Córdoba
Primera División;Newell's Old Boys
Primera División;Barracas Central
Primera División;CA Tigre
Primera División;CA Platense
Primera División;Instituto AC Córdoba
Primera División;Sarmiento de Junín
Primera División;Unión de Santa Fe
Primera División;Club Atlético Banfield
Primera División;Gimnasia La Plata
Primera División;Central Córdoba de Santiago del Estero
Primera División;CA Independiente
Primera División;Vélez Sársfield
Primera División;Club Atlético Huracán
Primera División;Colón de Santa Fé
Primera División;Arsenal
Primera División;Olimpo Bahia Blanca
Primera División;CA Sarmiento Resistencia
Liga Portugal Bwin;Benfica
Liga Portugal Bwin;Porto
Liga Portugal Bwin;Braga
Liga Portugal Bwin;Sporting CP
Liga Portugal Bwin;Arouca
Liga Portugal Bwin;Vitória SC
Liga Portugal Bwin;GD Chaves
Liga Portugal Bwin;Famalicão
Liga Portugal Bwin;Boavista
Liga Portugal Bwin;Casa Pia AC
Liga Portugal Bwin;Vizela
Liga Portugal Bwin;Rio Ave
Liga Portugal Bwin;Gil Vicente
Liga Portugal Bwin;GD Estoril-Praia
Liga Portugal Bwin;Portimonense SC
Liga Portugal Bwin;CS Marítimo
Liga Portugal Bwin;Paços de Ferreira
Liga Portugal Bwin;CD Santa Clara
Botola Pro1;FAR Rabat
Botola Pro1;Wydad AC
Botola Pro1;FUS Rabat
Botola Pro1;OC Safi
Botola Pro1;Raja CA
Botola Pro1;RS Berkane
Botola Pro1;HUS Agadir
Botola Pro1;UTS Touarga
Botola Pro1;JS Soualem
Botola Pro1;MAS Fès
Botola Pro1;MC Oujda
Botola Pro1;SCC Mohammédia
Botola Pro1;MA Tétouan
Botola Pro1;IR Tanger
Botola Pro1;OC Khouribga
Botola Pro1;DH El Jadida
